loss,config,halt_threshold,n_sup,epoch,train_ce,train_qloss,avg_steps_train,halt_logit_mean,halt_logit_std,halt_logit_max,pct_logit_gt0,pct_logit_gt1p5,train_pct_step1,train_pct_never,val_acc,val_steps_mean,val_pct_step1,val_pct_never
binary-em,nsup-16,0.0,16,80,0.0104,0.0500,1.0,5.048,0.963,8.194,100.0,100.0,100.0,0.0,98.24,1.00,100.0,0.0
binary-em,nsup-16,0.0,16,90,0.0121,0.0612,1.0,4.800,1.043,9.294,100.0,99.9,100.0,0.0,99.06,1.00,100.0,0.0
geomean,halt-0,0.0,5,0,1.6453,0.4628,5.0,-1.558,0.379,-0.019,0.0,0.0,0.0,100.0,0.10,5.00,0.0,100.0
geomean,halt-0,0.0,5,10,0.6846,0.6929,5.0,-0.067,0.183,0.656,37.3,0.0,38.9,53.9,6.84,3.16,41.0,51.8
geomean,halt-0,0.0,5,20,0.6096,0.6924,4.9893390191897655,0.071,0.127,0.522,70.5,0.0,70.1,25.4,7.82,1.99,72.4,23.7
geomean,halt-0,0.0,5,30,0.5815,0.6899,4.930348258706467,0.135,0.134,0.598,82.3,0.0,81.5,15.5,7.68,1.24,92.2,5.4
geomean,halt-0,0.0,5,40,0.5686,0.6837,2.4378109452736316,0.189,0.136,0.753,92.9,0.0,96.4,3.0,14.14,1.00,100.0,0.0
geomean,halt-0,0.0,5,50,0.0475,0.1567,1.0,3.448,0.693,6.053,100.0,99.4,100.0,0.0,94.48,1.00,100.0,0.0
geomean,halt-0,0.0,5,60,0.0217,0.0877,1.0,4.361,0.920,7.590,100.0,99.9,100.0,0.0,95.00,1.00,100.0,0.0
geomean,halt-0,0.0,5,70,0.0172,0.0675,1.0,4.814,1.097,9.050,100.0,99.9,100.0,0.0,98.54,1.00,100.0,0.0
geomean,halt-0,0.0,5,80,0.1376,0.1870,1.3795309168443497,3.068,2.114,9.144,96.0,67.8,98.7,1.0,95.90,1.00,100.0,0.0
geomean,halt-0,0.0,5,90,0.0108,0.0543,1.0,4.959,1.077,9.096,100.0,99.9,100.0,0.0,99.64,1.00,100.0,0.0
geomean,halt-1.5,1.5,5,0,1.6364,0.4645,5.0,-1.550,0.376,-0.024,0.0,0.0,0.0,100.0,0.10,5.00,0.0,100.0
geomean,halt-1.5,1.5,5,10,0.6615,0.6914,5.0,-0.016,0.209,0.756,48.8,0.0,0.0,100.0,7.44,5.00,0.0,100.0
geomean,halt-1.5,1.5,5,20,0.5535,0.6858,5.0,0.218,0.166,0.826,89.0,0.0,0.0,100.0,7.66,5.00,0.0,100.0
geomean,halt-1.5,1.5,5,30,0.5117,0.6788,5.0,0.325,0.156,0.912,98.7,0.0,0.0,100.0,13.24,5.00,0.0,100.0
geomean,halt-1.5,1.5,5,40,0.2383,0.4115,4.8450604122245915,1.813,0.410,3.523,100.0,79.0,74.8,17.4,78.28,1.57,81.4,12.7
geomean,halt-1.5,1.5,5,50,0.2617,0.3831,4.505330490405117,1.937,0.499,3.843,99.9,82.0,82.5,14.5,78.04,1.35,89.9,8.2
geomean,halt-1.5,1.5,5,60,0.0309,0.1329,1.0014214641080312,3.582,0.560,5.793,100.0,100.0,100.0,0.0,96.24,1.00,100.0,0.0
geomean,halt-1.5,1.5,5,70,0.2135,0.3310,4.23454157782516,2.208,0.599,4.870,100.0,88.7,89.2,8.3,86.12,1.20,93.7,4.6
geomean,halt-1.5,1.5,5,80,0.2547,0.3379,4.16133617626155,2.148,0.604,4.775,99.9,85.6,87.6,10.9,89.16,1.03,98.8,0.7
geomean,halt-1.5,1.5,5,90,0.0086,0.0493,1.003553660270078,4.981,0.873,7.998,100.0,100.0,100.0,0.0,98.64,1.00,100.0,0.0
geomean,halt-3.0,3.0,5,0,1.6290,0.4681,5.0,-1.543,0.400,0.008,0.0,0.0,0.0,100.0,0.06,5.00,0.0,100.0
geomean,halt-3.0,3.0,5,10,0.6612,0.6912,5.0,-0.014,0.211,0.679,49.4,0.0,0.0,100.0,7.34,5.00,0.0,100.0
geomean,halt-3.0,3.0,5,20,0.5535,0.6854,5.0,0.220,0.171,0.819,89.3,0.0,0.0,100.0,8.54,5.00,0.0,100.0
geomean,halt-3.0,3.0,5,30,0.1939,0.4282,5.0,1.736,0.459,3.581,100.0,69.8,0.0,99.6,75.18,5.00,0.0,99.9
geomean,halt-3.0,3.0,5,40,0.1148,0.2440,5.0,2.793,0.744,5.071,99.5,94.6,28.0,49.2,87.70,2.68,42.0,36.1
geomean,halt-3.0,3.0,5,50,0.0862,0.1980,4.994314143567875,3.112,0.686,5.423,100.0,98.3,48.5,34.5,92.72,2.49,46.3,31.1
geomean,halt-3.0,3.0,5,60,0.0749,0.1803,4.953802416488983,3.258,0.685,5.562,99.9,98.7,57.8,26.3,91.72,2.05,62.7,22.2
geomean,halt-3.0,3.0,5,70,0.0778,0.1651,4.912579957356077,3.422,0.742,6.050,100.0,98.8,65.9,21.3,88.92,3.38,29.6,55.2
geomean,halt-3.0,3.0,5,80,0.0746,0.1552,4.810234541577826,3.462,0.699,6.143,100.0,99.2,70.7,18.9,92.54,1.71,76.3,15.5
geomean,halt-3.0,3.0,5,90,0.0673,0.1325,4.667377398720682,3.715,0.793,6.280,100.0,99.3,80.0,14.0,95.54,1.73,75.0,15.7
geomean,nsup-1,0.0,1,0,1.6230,0.4684,1.0,-1.540,0.371,-0.016,0.0,0.0,100.0,100.0,0.04,1.00,100.0,100.0
geomean,nsup-1,0.0,1,10,0.6366,0.6916,1.0,0.034,0.208,0.874,56.2,0.0,100.0,100.0,6.86,1.00,100.0,100.0
geomean,nsup-1,0.0,1,20,0.5398,0.6837,1.0,0.248,0.166,0.776,93.5,0.0,100.0,100.0,8.18,1.00,100.0,100.0
geomean,nsup-1,0.0,1,30,0.2700,0.5385,1.0,1.208,0.345,2.853,100.0,20.3,100.0,100.0,68.76,1.00,100.0,100.0
geomean,nsup-1,0.0,1,40,0.0365,0.1197,1.0,3.917,0.909,7.198,100.0,99.2,100.0,100.0,97.74,1.00,100.0,100.0
geomean,nsup-1,0.0,1,50,0.0283,0.0974,1.0,4.293,1.035,8.048,100.0,99.6,100.0,100.0,96.70,1.00,100.0,100.0
geomean,nsup-1,0.0,1,60,0.0167,0.0572,1.0,5.236,1.339,9.078,100.0,99.1,100.0,100.0,95.82,1.00,100.0,100.0
geomean,nsup-1,0.0,1,70,0.0200,0.0794,1.0,4.534,0.942,7.898,100.0,99.8,100.0,100.0,98.76,1.00,100.0,100.0
geomean,nsup-1,0.0,1,80,0.0251,0.0710,1.0,4.815,1.169,8.849,100.0,99.2,100.0,100.0,98.84,1.00,100.0,100.0
geomean,nsup-1,0.0,1,90,0.0165,0.0594,1.0,4.992,1.122,9.809,100.0,99.8,100.0,100.0,99.10,1.00,100.0,100.0
geomean,nsup-16,0.0,16,0,1.6240,0.4683,16.0,-1.540,0.386,-0.031,0.0,0.0,0.0,100.0,0.04,16.00,0.0,100.0
geomean,nsup-16,0.0,16,10,0.8412,0.6760,16.0,-0.367,0.199,0.554,2.7,0.0,3.9,94.2,5.62,11.22,24.9,67.3
geomean,nsup-16,0.0,16,20,0.6181,0.6929,15.990760483297796,0.048,0.124,0.566,65.3,0.0,65.5,28.8,6.66,4.11,73.4,20.3
geomean,nsup-16,0.0,16,30,0.6025,0.6921,15.762615493958778,0.085,0.124,0.601,76.1,0.0,75.8,20.9,7.90,5.20,68.5,27.7
geomean,nsup-16,0.0,16,40,0.6203,0.6914,14.673773987206824,0.103,0.109,0.552,82.5,0.0,83.3,14.2,9.94,2.30,89.9,8.5
geomean,nsup-16,0.0,16,50,0.1324,0.3570,1.0,2.078,0.448,4.347,100.0,90.5,100.0,0.0,83.90,1.00,100.0,0.0
geomean,nsup-16,0.0,16,60,0.0402,0.1290,1.0,3.818,0.914,7.138,100.0,99.3,100.0,0.0,96.74,1.00,100.0,0.0
geomean,nsup-16,0.0,16,70,0.1722,0.2579,2.565031982942431,1.466,1.521,6.627,89.8,34.4,98.3,1.5,98.04,1.00,100.0,0.0
geomean,nsup-16,0.0,16,80,0.0184,0.0777,1.0,4.514,0.924,8.291,100.0,99.9,100.0,0.0,97.78,1.00,100.0,0.0
geomean,nsup-16,0.0,16,90,0.0363,0.1369,1.0,3.723,1.124,7.331,100.0,98.2,100.0,0.0,98.76,1.00,100.0,0.0
