loss,config,halt_threshold,n_sup,epoch,sup_step,val_halt_logit_mean,val_acc
binary-em,nsup-16,0.0,16,10,16,-2.369,6.96
binary-em,nsup-16,0.0,16,20,1,-2.407,8.32
binary-em,nsup-16,0.0,16,20,2,-2.441,8.32
binary-em,nsup-16,0.0,16,20,3,-2.430,8.32
binary-em,nsup-16,0.0,16,20,4,-2.419,8.32
binary-em,nsup-16,0.0,16,20,5,-2.419,8.32
binary-em,nsup-16,0.0,16,20,6,-2.420,8.32
binary-em,nsup-16,0.0,16,20,7,-2.421,8.32
binary-em,nsup-16,0.0,16,20,8,-2.420,8.32
binary-em,nsup-16,0.0,16,20,9,-2.419,8.32
binary-em,nsup-16,0.0,16,20,10,-2.420,8.32
binary-em,nsup-16,0.0,16,20,11,-2.420,8.32
binary-em,nsup-16,0.0,16,20,12,-2.420,8.32
binary-em,nsup-16,0.0,16,20,13,-2.420,8.32
binary-em,nsup-16,0.0,16,20,14,-2.420,8.32
binary-em,nsup-16,0.0,16,20,15,-2.420,8.32
binary-em,nsup-16,0.0,16,20,16,-2.420,8.32
binary-em,nsup-16,0.0,16,30,1,-1.635,14.24
binary-em,nsup-16,0.0,16,30,2,-1.595,14.24
binary-em,nsup-16,0.0,16,30,3,-1.585,14.24
binary-em,nsup-16,0.0,16,30,4,-1.589,14.24
binary-em,nsup-16,0.0,16,30,5,-1.590,14.24
binary-em,nsup-16,0.0,16,30,6,-1.589,14.24
binary-em,nsup-16,0.0,16,30,7,-1.588,14.24
binary-em,nsup-16,0.0,16,30,8,-1.590,14.24
binary-em,nsup-16,0.0,16,30,9,-1.589,14.24
binary-em,nsup-16,0.0,16,30,10,-1.590,14.24
binary-em,nsup-16,0.0,16,30,11,-1.588,14.24
binary-em,nsup-16,0.0,16,30,12,-1.589,14.24
binary-em,nsup-16,0.0,16,30,13,-1.590,14.24
binary-em,nsup-16,0.0,16,30,14,-1.588,14.24
binary-em,nsup-16,0.0,16,30,15,-1.590,14.24
binary-em,nsup-16,0.0,16,30,16,-1.588,14.24
binary-em,nsup-16,0.0,16,40,1,0.548,52.06
binary-em,nsup-16,0.0,16,40,2,0.597,52.06
binary-em,nsup-16,0.0,16,40,3,0.608,52.06
binary-em,nsup-16,0.0,16,40,4,0.608,52.06
binary-em,nsup-16,0.0,16,40,5,0.605,52.06
binary-em,nsup-16,0.0,16,40,6,0.603,52.06
binary-em,nsup-16,0.0,16,40,7,0.603,52.06
binary-em,nsup-16,0.0,16,40,8,0.604,52.06
binary-em,nsup-16,0.0,16,40,9,0.604,52.06
binary-em,nsup-16,0.0,16,40,10,0.604,52.06
binary-em,nsup-16,0.0,16,40,11,0.603,52.06
binary-em,nsup-16,0.0,16,40,12,0.602,52.06
binary-em,nsup-16,0.0,16,40,13,0.602,52.06
binary-em,nsup-16,0.0,16,40,14,0.604,52.06
binary-em,nsup-16,0.0,16,40,15,0.605,52.06
binary-em,nsup-16,0.0,16,40,16,0.604,52.06
binary-em,nsup-16,0.0,16,50,1,1.860,85.80
binary-em,nsup-16,0.0,16,50,2,1.922,85.80
binary-em,nsup-16,0.0,16,60,1,3.803,96.54
binary-em,nsup-16,0.0,16,70,1,5.494,98.72
binary-em,nsup-16,0.0,16,80,1,5.182,98.24
binary-em,nsup-16,0.0,16,90,1,5.217,99.06
geomean,halt-0,0.0,5,0,1,-1.451,0.10
geomean,halt-0,0.0,5,0,2,-1.479,0.10
geomean,halt-0,0.0,5,0,3,-1.445,0.10
geomean,halt-0,0.0,5,0,4,-1.462,0.10
geomean,halt-0,0.0,5,0,5,-1.456,0.10
geomean,halt-0,0.0,5,10,1,-0.056,6.84
geomean,halt-0,0.0,5,10,2,-0.076,6.84
geomean,halt-0,0.0,5,10,3,-0.065,6.84
geomean,halt-0,0.0,5,10,4,-0.063,6.84
geomean,halt-0,0.0,5,10,5,-0.065,6.84
geomean,halt-0,0.0,5,20,1,0.102,7.82
geomean,halt-0,0.0,5,20,2,0.100,7.82
geomean,halt-0,0.0,5,20,3,0.096,7.82
geomean,halt-0,0.0,5,20,4,0.096,7.82
geomean,halt-0,0.0,5,20,5,0.095,7.82
geomean,halt-0,0.0,5,30,1,0.227,7.68
geomean,halt-0,0.0,5,30,2,0.219,7.68
geomean,halt-0,0.0,5,30,3,0.223,7.68
geomean,halt-0,0.0,5,30,4,0.219,7.68
geomean,halt-0,0.0,5,30,5,0.223,7.68
geomean,halt-0,0.0,5,40,1,0.429,14.14
geomean,halt-0,0.0,5,50,1,3.967,94.48
geomean,halt-0,0.0,5,60,1,3.714,95.00
geomean,halt-0,0.0,5,70,1,5.969,98.54
geomean,halt-0,0.0,5,80,1,3.749,95.90
geomean,halt-0,0.0,5,90,1,6.248,99.64
geomean,halt-1.5,1.5,5,0,1,-1.372,0.10
geomean,halt-1.5,1.5,5,0,2,-1.395,0.10
geomean,halt-1.5,1.5,5,0,3,-1.412,0.10
geomean,halt-1.5,1.5,5,0,4,-1.409,0.10
geomean,halt-1.5,1.5,5,0,5,-1.410,0.10
geomean,halt-1.5,1.5,5,10,1,0.048,7.44
geomean,halt-1.5,1.5,5,10,2,0.040,7.44
geomean,halt-1.5,1.5,5,10,3,0.040,7.44
geomean,halt-1.5,1.5,5,10,4,0.039,7.44
geomean,halt-1.5,1.5,5,10,5,0.037,7.44
geomean,halt-1.5,1.5,5,20,1,0.310,7.66
geomean,halt-1.5,1.5,5,20,2,0.311,7.66
geomean,halt-1.5,1.5,5,20,3,0.313,7.66
geomean,halt-1.5,1.5,5,20,4,0.311,7.66
geomean,halt-1.5,1.5,5,20,5,0.313,7.66
geomean,halt-1.5,1.5,5,30,1,0.413,13.24
geomean,halt-1.5,1.5,5,30,2,0.406,13.24
geomean,halt-1.5,1.5,5,30,3,0.404,13.24
geomean,halt-1.5,1.5,5,30,4,0.404,13.24
geomean,halt-1.5,1.5,5,30,5,0.403,13.24
geomean,halt-1.5,1.5,5,40,1,1.973,78.28
geomean,halt-1.5,1.5,5,40,2,2.072,78.28
geomean,halt-1.5,1.5,5,50,1,2.103,78.04
geomean,halt-1.5,1.5,5,50,2,2.205,78.04
geomean,halt-1.5,1.5,5,60,1,3.945,96.24
geomean,halt-1.5,1.5,5,70,1,2.303,86.12
geomean,halt-1.5,1.5,5,80,1,2.619,89.16
geomean,halt-1.5,1.5,5,90,1,5.341,98.64
geomean,halt-3.0,3.0,5,0,1,-1.366,0.06
geomean,halt-3.0,3.0,5,0,2,-1.269,0.06
geomean,halt-3.0,3.0,5,0,3,-1.297,0.06
geomean,halt-3.0,3.0,5,0,4,-1.288,0.06
geomean,halt-3.0,3.0,5,0,5,-1.292,0.06
geomean,halt-3.0,3.0,5,10,1,0.037,7.34
geomean,halt-3.0,3.0,5,10,2,0.053,7.34
geomean,halt-3.0,3.0,5,10,3,0.040,7.34
geomean,halt-3.0,3.0,5,10,4,0.036,7.34
geomean,halt-3.0,3.0,5,10,5,0.040,7.34
geomean,halt-3.0,3.0,5,20,1,0.222,8.54
geomean,halt-3.0,3.0,5,20,2,0.225,8.54
geomean,halt-3.0,3.0,5,20,3,0.229,8.54
geomean,halt-3.0,3.0,5,20,4,0.228,8.54
geomean,halt-3.0,3.0,5,20,5,0.225,8.54
geomean,halt-3.0,3.0,5,30,1,1.765,75.18
geomean,halt-3.0,3.0,5,30,2,1.974,75.18
geomean,halt-3.0,3.0,5,30,3,1.950,75.18
geomean,halt-3.0,3.0,5,30,4,1.948,75.18
geomean,halt-3.0,3.0,5,30,5,1.950,75.18
geomean,halt-3.0,3.0,5,40,1,2.959,87.70
geomean,halt-3.0,3.0,5,40,2,3.222,87.70
geomean,halt-3.0,3.0,5,40,3,3.190,87.70
geomean,halt-3.0,3.0,5,40,4,3.188,87.70
geomean,halt-3.0,3.0,5,40,5,3.188,87.70
geomean,halt-3.0,3.0,5,50,1,3.097,92.72
geomean,halt-3.0,3.0,5,50,2,3.261,92.72
geomean,halt-3.0,3.0,5,50,3,3.213,92.72
geomean,halt-3.0,3.0,5,50,4,3.228,92.72
geomean,halt-3.0,3.0,5,50,5,3.222,92.72
geomean,halt-3.0,3.0,5,60,1,3.209,91.72
geomean,halt-3.0,3.0,5,60,2,3.349,91.72
geomean,halt-3.0,3.0,5,60,3,3.334,91.72
geomean,halt-3.0,3.0,5,60,4,3.333,91.72
geomean,halt-3.0,3.0,5,60,5,3.330,91.72
geomean,halt-3.0,3.0,5,70,1,2.597,88.92
geomean,halt-3.0,3.0,5,70,2,2.806,88.92
geomean,halt-3.0,3.0,5,70,3,2.774,88.92
geomean,halt-3.0,3.0,5,70,4,2.775,88.92
geomean,halt-3.0,3.0,5,70,5,2.772,88.92
geomean,halt-3.0,3.0,5,80,1,3.430,92.54
geomean,halt-3.0,3.0,5,80,2,3.603,92.54
geomean,halt-3.0,3.0,5,80,3,3.596,92.54
geomean,halt-3.0,3.0,5,80,4,3.581,92.54
geomean,halt-3.0,3.0,5,80,5,3.579,92.54
geomean,halt-3.0,3.0,5,90,1,3.581,95.54
geomean,halt-3.0,3.0,5,90,2,3.639,95.54
geomean,halt-3.0,3.0,5,90,3,3.632,95.54
