loss,config,halt_threshold,n_sup,split,epoch,step,count,val_acc,note
softmean,halt-3.0,3.0,5,train,80,3,116,87.28,
softmean,halt-3.0,3.0,5,train,80,4,16,87.28,
softmean,halt-3.0,3.0,5,train,80,5,2704,87.28,includes never-halted
softmean,halt-3.0,3.0,5,val,80,1,3878,87.28,
softmean,halt-3.0,3.0,5,val,80,2,290,87.28,
softmean,halt-3.0,3.0,5,val,80,3,14,87.28,
softmean,halt-3.0,3.0,5,val,80,4,2,87.28,
softmean,halt-3.0,3.0,5,val,80,5,816,87.28,includes never-halted
softmean,halt-3.0,3.0,5,train,90,1,41291,86.60,
softmean,halt-3.0,3.0,5,train,90,2,1281,86.60,
softmean,halt-3.0,3.0,5,train,90,3,112,86.60,
softmean,halt-3.0,3.0,5,train,90,4,26,86.60,
softmean,halt-3.0,3.0,5,train,90,5,2290,86.60,includes never-halted
softmean,halt-3.0,3.0,5,val,90,1,4413,86.60,
softmean,halt-3.0,3.0,5,val,90,2,190,86.60,
softmean,halt-3.0,3.0,5,val,90,3,14,86.60,
softmean,halt-3.0,3.0,5,val,90,4,2,86.60,
softmean,halt-3.0,3.0,5,val,90,5,381,86.60,includes never-halted
softmean,nsup-16,0.0,16,train,0,1,597,0.06,
softmean,nsup-16,0.0,16,train,0,2,22,0.06,
softmean,nsup-16,0.0,16,train,0,3,6,0.06,
softmean,nsup-16,0.0,16,train,0,4,1,0.06,
softmean,nsup-16,0.0,16,train,0,5,0,0.06,
softmean,nsup-16,0.0,16,train,0,6,0,0.06,
softmean,nsup-16,0.0,16,train,0,7,0,0.06,
softmean,nsup-16,0.0,16,train,0,8,0,0.06,
softmean,nsup-16,0.0,16,train,0,9,0,0.06,
softmean,nsup-16,0.0,16,train,0,10,0,0.06,
softmean,nsup-16,0.0,16,train,0,11,0,0.06,
softmean,nsup-16,0.0,16,train,0,12,0,0.06,
softmean,nsup-16,0.0,16,train,0,13,0,0.06,
softmean,nsup-16,0.0,16,train,0,14,0,0.06,
softmean,nsup-16,0.0,16,train,0,15,0,0.06,
softmean,nsup-16,0.0,16,train,0,16,44374,0.06,includes never-halted
softmean,nsup-16,0.0,16,val,0,1,0,0.06,
softmean,nsup-16,0.0,16,val,0,2,0,0.06,
softmean,nsup-16,0.0,16,val,0,3,0,0.06,
softmean,nsup-16,0.0,16,val,0,4,0,0.06,
softmean,nsup-16,0.0,16,val,0,5,0,0.06,
softmean,nsup-16,0.0,16,val,0,6,0,0.06,
softmean,nsup-16,0.0,16,val,0,7,0,0.06,
softmean,nsup-16,0.0,16,val,0,8,0,0.06,
softmean,nsup-16,0.0,16,val,0,9,0,0.06,
softmean,nsup-16,0.0,16,val,0,10,0,0.06,
softmean,nsup-16,0.0,16,val,0,11,0,0.06,
softmean,nsup-16,0.0,16,val,0,12,0,0.06,
softmean,nsup-16,0.0,16,val,0,13,0,0.06,
softmean,nsup-16,0.0,16,val,0,14,0,0.06,
softmean,nsup-16,0.0,16,val,0,15,0,0.06,
softmean,nsup-16,0.0,16,val,0,16,5000,0.06,includes never-halted
softmean,nsup-16,0.0,16,train,10,1,39277,2.00,
softmean,nsup-16,0.0,16,train,10,2,956,2.00,
softmean,nsup-16,0.0,16,train,10,3,114,2.00,
softmean,nsup-16,0.0,16,train,10,4,10,2.00,
softmean,nsup-16,0.0,16,train,10,5,1,2.00,
softmean,nsup-16,0.0,16,train,10,6,2,2.00,
softmean,nsup-16,0.0,16,train,10,7,1,2.00,
softmean,nsup-16,0.0,16,train,10,8,0,2.00,
softmean,nsup-16,0.0,16,train,10,9,0,2.00,
softmean,nsup-16,0.0,16,train,10,10,0,2.00,
softmean,nsup-16,0.0,16,train,10,11,0,2.00,
softmean,nsup-16,0.0,16,train,10,12,0,2.00,
softmean,nsup-16,0.0,16,train,10,13,0,2.00,
softmean,nsup-16,0.0,16,train,10,14,0,2.00,
softmean,nsup-16,0.0,16,train,10,15,0,2.00,
softmean,nsup-16,0.0,16,train,10,16,4639,2.00,includes never-halted
